id,voteup_count,comment_count,question,totals,people,classfy,business,location,follow,following,answer_count,pins_count,articles_count,goods,pub,ffzx_if,ffzx,sign
14c70fa84864b9c488dfceabfecb5206,457,67,429878180,85,14c70fa84864b9c488dfceabfecb5206,False,,,5,59,12,0,0,0,False,False,0,
9e282d0b2953571360318ddcefb3ada9,3698,170,429648405,175,9e282d0b2953571360318ddcefb3ada9,False,,,2269,3,736,2,0,0,False,False,0,
d240b01b1b25f1d529b67308c63f8443,6717,145,430080697,486,d240b01b1b25f1d529b67308c63f8443,False,,,214,58,114,0,0,0,False,False,0,
00cffde79b694cb643ffa2da7487f59c,2566,170,430079193,247,00cffde79b694cb643ffa2da7487f59c,False,财务,武汉,690,21,152,4,0,0,False,True,0,
44f367b46eb5a72ae8f2b09b2b15667e,11802,336,430091489,408,44f367b46eb5a72ae8f2b09b2b15667e,True,,,1980,169,45,4,8,0,False,False,0,
514bdfcd946941474f00521f70859138,18601,259,425625068,5115,514bdfcd946941474f00521f70859138,False,,,1886,89,199,90,3,0,False,False,0,"{'电影爱好者', '有点皮', '咖啡控', '吃货', '古灵精怪'}"
55e18af5294d8889da59cd46ec229cb5,118,13,430082389,124,55e18af5294d8889da59cd46ec229cb5,False,法律,,77603,1295,197,1,4,151,False,True,0,"{'文艺工作者', '生活家', '没有猫的猫控'}"
4586ba66296b8898181625de1412bc55,7185,430,429985959,688,4586ba66296b8898181625de1412bc55,False,,,206,7,36,0,19,0,False,False,0,
969bcb2d0de356aada71397b8543350d,820,29,430009739,103,969bcb2d0de356aada71397b8543350d,False,,松原市,58387,13,1238,0,15,133,False,True,54,"{'儒雅随和', '叼毛', '动物领域大师', '不行就黄', '萌大叔'}"
47a74468575a2d0cffb7e4dcbf3424df,882,269,428181856,483,47a74468575a2d0cffb7e4dcbf3424df,False,,,9,42,2,0,0,0,False,False,0,
15553e92575d2b04da165888e5f8e075,408,65,429501142,102,15553e92575d2b04da165888e5f8e075,True,,,372633,73,544,1682,2595,0,True,False,0,
161f68ba90070a8650be097258b04ddb,12854,669,404637310,146,161f68ba90070a8650be097258b04ddb,False,广告,大连,26280,147,662,328,2,0,False,False,0,"{'二次元', '中二', '广告从业者', '游戏玩家', '设计师', '女神', '中产阶级', '火影忍者', '绘画爱好者'}"
e0a70f186c25424bb4836c261e255c20,4807,314,429393394,263,e0a70f186c25424bb4836c261e255c20,False,化工业,天津,464,30,140,0,0,0,False,False,0,"{'大学生', '暖男', '音乐控', '军事迷'}"
1e892ef030cbcc9e3e16905769f38eff,206,0,429109054,118,1e892ef030cbcc9e3e16905769f38eff,True,,,81903,8,19,16,287,0,False,False,0,
ae7a37b4fb1d158f11b3b50b9c260e79,46438,1522,325144561,1203,ae7a37b4fb1d158f11b3b50b9c260e79,False,互联网,深圳南山区,12353,104,25,0,5,0,False,False,0,{'智力障碍 （疾病）'}
f20efdf5a6107c04e8dabbb3cc046976,961,66,429841145,86,f20efdf5a6107c04e8dabbb3cc046976,False,银行,武汉市,50982,204,936,1349,19,0,False,False,0,"{'电影爱好者', '有点皮', '咖啡控', '海贼王（ONE PIECE）', '游戏玩家', '动漫控'}"
73d4ee5b80a7eee94e81a54939eef7ff,27768,937,313152078,577,73d4ee5b80a7eee94e81a54939eef7ff,False,咨询分析,,508879,83,2103,346,826,0,False,True,4175,"{'知乎宝藏答主', '颜值即正义', '感恩知乎给的平台', '恋爱', '带头遵守知乎管理规定', '一看就知道是好人', '九分颜值所以叫九颜', '颜粉何在', '铲屎官', '挽回小能手'}"
f893b4a9ed8f2f4cee076655cb63a66a,1588,153,429779434,363,f893b4a9ed8f2f4cee076655cb63a66a,False,咨询分析,福州,68465,143,1552,1320,22,83,False,True,4,"{'法学', '培训行业', '会计', '习惯性飙车'}"
